"n_recruit","emmean","lower.HPD","upper.HPD"
23.8484848484849,51.9493386904668,45.440127083955,57.6851693220307
24.1111111111111,52.5218581963011,45.9367110081482,58.3166715839915
24.3737373737374,53.0978653743258,46.6089138856395,59.1277037420249
24.6363636363636,53.6744454945657,47.1110449622689,59.7661349324505
24.8989898989899,54.246399123935,47.5898515082203,60.404566122876
25.1616161616162,54.8163717249178,48.0648457515362,61.0429973133015
25.4242424242424,55.386817223825,48.5463015814793,61.6906847146605
25.6868686868687,55.9553665064907,48.9578485703532,62.2441234891096
25.949494949495,56.5250917973323,49.4472582130263,62.8768175548806
26.2121212121212,57.0972107095108,49.9599670106564,63.5532741241489
26.4747474747475,57.6749641792345,50.4592017279975,64.1920223054249
26.7373737373737,58.2426546093139,50.9467899665685,64.8332082590169
27,58.8119957724353,51.4705067749234,65.5170000767079
